name,county,capacity_mw,lat,lon
Bellacorrick Wind Farm,Mayo,,54.131883,-9.550887
Corrie Mt.,Leitrim,,54.129742,-8.153052
Mount Cronalaght,Donegal,,55.06299,-8.218012
Golagh (1),Donegal,15.0,54.688836,-7.94564
Drumlough Hill Wind Farm,Donegal,,55.204233,-7.438532
Kilronan,Roscommon,,54.080599,-8.146806
Cark,Donegal,,54.896891,-7.896808
Spion Kop Wind Farm,Leitrim,,54.134566,-8.138277
Crockahenny,Donegal,,55.14621,-7.271128
Knock South Wind Farm (Inverin),Galway,,53.265237,-9.368172
Knock South Wind Farm (2),Galway,,53.265038,-9.36902
Currabwee Wind Farm,Cork,,51.681462,-9.12122
Milane Hill Wind Farm,Cork,,51.689543,-9.212524
Anarget Wind Farm (1),Donegal,,54.752161,-8.168337
Beenageeha Wind Farm,Kerry,,52.333406,-9.564538
Largan Hill,Roscommon,,53.948094,-8.567456
Tursillagh Wind Farm,Kerry,,52.313644,-9.596718
Beale Hill (1),Kerry,,52.564254,-9.633618
Culliagh Wind Farm (Meenbog),Donegal,,54.871082,-7.884461
CORNEEN Wind Farm,Cavan,,54.133506,-7.637569
Black Banks (1),Leitrim,,54.144226,-8.195079
Carnsore Wind Farm,Wexford,,52.178405,-6.361851
Kingsmountain (1),Sligo,25.0,54.20434,-8.790268
Meenadreen Wind Farm,Donegal,,54.663546,-7.960938
Burtonport Harbour Single Turbine,Donegal,,54.980658,-8.440192
Beale Hill (2),Kerry,,52.563573,-9.633415
Arklow Bank Wind Farm (1),Offshore,,52.792043,-6.088443
Raheen Barr Wind Farm,Mayo,,53.904988,-9.336144
Curraghgraigue Wind Farm,Tipperary,,52.79588,-8.105186
Meenanilta Wind Farm (1),Donegal,,54.849306,-7.829959
Cuillalea Wind Farm,Mayo,,53.848511,-9.072689
Mounvaun (Mienvee) Wind Farm,Tipperary,,52.649656,-8.144197
Sonnagh Old Phase 1,Galway,,53.130747,-8.637909
Meenanilta Wind Farm (2),Donegal,,54.849774,-7.817658
Tursillagh (2) Wind Farm,Kerry,,52.314721,-9.606069
Meentycat (1),Donegal,72.4,54.869478,-7.86227
Gartnaneane (1) Wind Farm,Cavan,,53.944368,-6.9271
Gartnaneane II Wind Farm,Cavan,,53.889076,-6.968974
Anarget Wind Farm (2),Donegal,,54.751815,-8.171488
Moanmore Wind Farm,Clare,,52.670868,-9.488158
Coomatallin Wind Farm,Cork,,51.657329,-9.092662
Mount Eagle Wind Farm,Kerry,,52.24202,-9.322859
Greenoge Wind Farm,Carlow,,52.657313,-6.723402
Ballywater (1),Wexford,31.5,52.53779,-6.251031
Cronelea Upper Wind Farm,Wicklow,,52.777106,-6.557405
Booltiagh (1),Clare,19.5,52.78007,-9.246027
Black Banks (2),Leitrim,,54.144226,-8.195079
Altagowlan Wind Farm,Roscommon,,54.122647,-8.144202
Moneenatieve Wind Farm (1),Leitrim,,54.143058,-8.158671
Derrybrien (1),Galway,59.5,53.093704,-8.607941
Gneeves Wind Farm,Cork,,52.013205,-9.120461
Dundalk IT Wind Turbine,Louth,,53.983632,-6.391137
Ballinveny Wind Farm,Tipperary,,52.816944,-7.953138
Ballinlough Wind Farm,Tipperary,,52.830198,-8.011504
Geevagh Wind Farm,Sligo,,54.142289,-8.268516
Coomagearlahy (1),Kerry,45.0,51.934009,-9.321388
Taurbeg Wind Farm,Cork,,52.250235,-9.1355
Carrig Wind Farm,Tipperary,,53.029273,-7.978348
Skehanagh Wind Farm,Tipperary,,53.020063,-7.983226
Lahanaght Hill Wind Farm,Cork,,51.650771,-9.217587
Sorne Hill Wind Farm,Donegal,,55.126619,-7.355601
Dunmore Wind Farm,Louth,,53.787721,-6.53281
Richfield Wind Farm (2),Wexford,,52.214989,-6.59192
Beam Hill Wind Farm,Donegal,,55.190661,-7.430825
Richfield Wind Farm,Wexford,,52.216742,-6.594235
Kilvinane Wind Farm,Cork,,51.705643,-8.991883
Kealkil Wind Farm,Cork,,51.812417,-9.320222
Carrane Hill Wind Farm,Sligo,,54.138849,-8.233411
Tournafulla Wind Farm (1),Limerick,,52.375636,-9.161796
Lackan Wind Farm,Sligo,,54.245629,-9.070936
Cronelea Wind Farm,Wicklow,,52.780571,-6.547583
Midas (1),Kerry,32.45,51.925901,-9.306976
Ballywater (2),Wexford,10.5,52.53779,-6.251031
Killybegs Wind Farm,Donegal,,54.658319,-8.458938
Mullananalt Wind Farm,Monaghan,,54.07674,-6.912413
Tournafulla (2) Wind Farm,Limerick,,52.375636,-9.161796
Mountain Lodge (2),Cavan,25.5,54.021497,-7.107947
Mounvaun (Mienvee) Wind Farm (2),Tipperary,,52.64822,-8.142346
Pallas Wind Farm,Kerry,40.0,52.378591,-9.547748
Coomacheo (1),Cork,41.4,52.021282,-9.15883
Meenachullalan Wind Farm,Donegal,,54.690078,-8.492248
Lurganboy Wind Farm,Donegal,,55.112894,-7.617936
"Ballybane (Glanta Commons) Wind
Farm",Cork,,51.631745,-9.379964
Knockawarriga Wind Farm,Limerick,,52.342397,-9.205399
Lios na Carraige,Cavan,,53.906629,-6.790547
Loughderryduff Wind Farm,Donegal,,54.819978,-8.380527
Beallough Wind Farm,Waterford,,52.2733,-7.341304
Mount Eagle Wind Farm (2),Kerry,,52.241838,-9.322341
Mountain Lodge Wind Farm,Cavan,,54.021497,-7.107947
Mountain Lodge (3),Cavan,6.0,54.021497,-7.107947
Coomagearlahy (2),Kerry,8.5,51.887912,-9.308401
"Ballybane 2 (Glanta Commons) Wind
Farm",Cork,,51.631745,-9.379964
Glackmore Hill (1),Donegal,,55.124886,-7.260921
Glackmore Hill (3),Donegal,,55.12236,-7.269478
Glackmore Hill (2),Donegal,,55.122609,-7.268972
Meenkeeragh Wind Farm,Donegal,,55.129617,-7.391986
Dunmore 2,Louth,,53.785981,-6.533099
Coomagearlahy (3),Kerry,32.5,51.93528,-9.347961
Sorne Hill (2),Donegal,,55.131002,-7.355483
Coomacheo (2),Cork,18.4,52.021282,-9.15883
Lisheen (1),Tipperary,36.0,52.757271,-7.691159
Meentycat (2),Donegal,16.1,54.881402,-7.883901
Bindoo (1a),Cavan,48.0,54.004943,-7.136912
Rahora Wind Farm,Kilkenny,,52.395416,-7.052525
Knockastanna Wind Farm,Limerick,,52.663362,-8.213943
WEDcross Wind Farm,Cork,,52.153077,-9.228596
"Derrynadivva Wind Farm (prev. Raheen
Bar 2)",Mayo,,53.905583,-9.339206
Dromada (1),Limerick,28.5,52.43443,-9.22223
Boggeragh (1),Cork,57.0,52.034914,-8.920666
Cronelea Upper Wind Farm (2),Wicklow,,52.780056,-6.547333
Cronelea Wind Farm (2),Wicklow,,52.779848,-6.555284
Mace Upper Wind Farm,Mayo,,53.767638,-8.968261
Muingnaminnane Wind Farm,Kerry,,52.289523,-9.539072
Reenascreena Wind Farm,Cork,,51.623326,-9.036324
Slievereagh Wind Farm (1),Limerick,,52.373081,-8.389334
Ballincollig Hill Wind Farm (Lee Strand),Kerry,,52.308061,-9.592852
Kingsmountain (2),Sligo,11.05,54.21342,-8.821511
Garvagh - Glebe/Tullynahaw,Roscommon,22.0,54.112984,-8.125208
Garvagh - Glebe (1a),Leitrim,26.0,54.151287,-8.200744
Shannagh (Kilcar),Donegal,,54.66827,-8.582713
Flughland,Donegal,,55.141755,-7.27582
Gortahile Wind Farm,Laois,,52.82348,-7.058768
Cuillalea Wind Farm (2),Mayo,,53.848356,-9.075997
Donaghmede Fr Collins Park Wind Farm,Dublin,,53.407589,-6.16214
Tullow Mushroom Growers Ltd,Carlow,,52.847179,-6.758982
Carrons (A&B) Wind Farm,Limerick,,52.541026,-9.069658
Owenstown,Kildare,,53.406465,-6.553305
Castledockrell (2),Wexford,2.3,52.587976,-6.637551
Castledockrell (3),Wexford,2.3,52.587976,-6.637551
Castledockrell (1),Wexford,20.7,52.587976,-6.637551
Castledockrell (4),Wexford,16.1,52.587976,-6.637551
Lenanavea (Burren) Wind Farm,Mayo,,53.919465,-9.343151
Country Crest,Dublin,,53.547806,-6.175442
Crocane Wind Farm,Cork,,51.843149,-8.156616
Drumlough Hill (2) (Lough Doo),Donegal,,55.200306,-7.441979
Rathcahill West Wind Farm,Limerick,,52.403248,-9.13071
Corkermore Wind Farm Phase 1,Donegal,,54.713389,-8.356194
Dromdeeveen Wind Farm (1),Limerick,,52.332131,-9.039132
Grouse Lodge Wind Farm,Limerick,,52.521021,-9.103985
Carraigcannon Wind Farm,Cork,,52.066939,-8.89213
Ballymartin (1) (Smithstown),Kilkenny,,52.387307,-7.107499
CURRAGHGRAIGUE (2) Wind Farm,Tipperary,,52.797698,-8.102522
Bawnmore (Burren/Carraignimma),Cork,,51.951153,-8.905395
Moneenatieve Wind Farm (2),Leitrim,,54.132197,-8.158308
Anarget Wind Farm (3),Donegal,,54.755225,-8.167527
Seltanaveeny Wind Farm,Roscommon,,54.109318,-8.116666
Tullynamoyle,Leitrim,,54.226734,-8.134904
Skrine Wind Farm,Roscommon,,53.569256,-8.181863
Dromdeeveen Wind Farm (2),Limerick,,52.327589,-9.030254
Meenanilta (3),Donegal,,54.849638,-7.822967
Glenough Wind Farm,Tipperary,,52.646811,-8.069933
"St Patricks Missionary Society, Co.
Wicklow",Wicklow,,52.901598,-6.55834
Carrowleagh Wind Farm (1),Mayo,,54.133418,-8.95431
Caherdowney Wind Farm,Cork,,52.002576,-9.118229
Knockaneden Wind Farm,Kerry,,51.936825,-10.098921
Ballycadden Wind Farm (1),Wexford,,52.646311,-6.530214
Ballycadden Wind Farm (2),Wexford,,52.6437,-6.525471
Clydaghroe Wind Farm,Kerry,,51.990396,-9.161177
Meade Potato Company,Meath,,53.788851,-6.613389
Ballaman (Kennystown) Wind Farm,Wexford,,52.623085,-6.543707
Templederry Wind Farm,Tipperary,,52.777315,-8.147878
Shalvey Poultry WT,Cavan,,54.024327,-7.056221
Garracummer Wind Farm,Tipperary,,52.639541,-8.186795
Ballymartin (2) - Smithstown,Kilkenny,,52.391368,-7.106227
Gibbet Hill Wind Farm,Wexford,,52.679245,-6.577859
Lisheen (1a),Tipperary,24.0,52.750965,-7.681696
Meenkeeragh Wind Farm (2),Donegal,,55.129617,-7.391986
Garranereagh Wind Farm,Cork,,51.81586,-8.932482
Knocknalour Wind Farm G3,Wexford,,52.681576,-6.557303
Knocknalour Wind Farm (1),Wexford,,52.68103,-6.564108
Ballynancoran Wind Farm,Wexford,,52.667086,-6.526368
Booltiagh (2),Clare,12.0,52.774157,-9.240879
Knocknagoum (1),Kerry,,52.327471,-9.529783
Knocknagoum (2),Kerry,,52.289087,-9.54489
Pluckanes Wind Farm,Cork,,52.002608,-8.70068
Athea (1a),Limerick,34.35,52.438997,-9.29803
"Knockacummer (1)
(Temp)(Glentanemacelligot1)",Cork,100.0,52.259698,-9.100459
Mountlucas (1),Offaly,84.0,53.273386,-7.236686
Hollyford(Holyford) Wind Farm,Tipperary,,52.64665,-8.069682
Leitir Guingaid Wind Farm,Galway,,53.286055,-9.196098
Monaincha Bog Wind Farm (Gate 3),Tipperary,,52.937101,-7.719
Monaincha Bog Wind Farm (Gate 2),Tipperary,,52.937101,-7.719
Ballycurreen Wind Farm,Waterford,4.6,52.029345,-7.597874
Carrickeeny Wind Farm,Leitrim,,54.330926,-8.277427
Wind Energy Project (Janssen),Cork,,51.829701,-8.344064
Bruckana,Tipperary,,52.785036,-7.670583
DePuy 3MW Wind Turbine,Cork,,51.826815,-8.305446
Burtonstown,Meath,,53.617159,-6.510791
Burtonstown Autoproducer,Meath,,53.617159,-6.510791
Kill Hill (1) - phase 1,Tipperary,36.0,52.539403,-7.784289
Slievereagh Wind Farm (2),Limerick,,52.373081,-8.389334
Faughary Wind Farm,Leitrim,,54.340149,-8.13758
"Ballybane 2A (Glanta Commons) Wind
Farm",Cork,,51.631745,-9.379964
Garracummer (2),Tipperary,,52.643729,-8.148255
Woodhouse (1),Waterford,20.0,52.081325,-7.77707
Barranafaddock Wind Farm,Waterford,,52.177012,-8.104223
Acres Wind Farm,Donegal,,54.525969,-8.191099
Carrownaweelaun Wind Farm,Clare,,52.634055,-9.724431
Leabeg Wind Farm,Offaly,,53.23457,-7.768255
Cloghboola (1),Kerry,48.0,52.330519,-9.43813
Boggeragh (2),Cork,65.7,52.037692,-8.908919
Roosky Wind Farm,Roscommon,,53.878146,-8.585469
Collon Wind Power Limited (Gate 2),Louth,0.0,53.785981,-6.533099
Collon Wind Power Limited (Gate 3),Louth,3.0,53.785981,-6.533099
Raheenleagh (1),Wicklow,,52.796039,-6.291392
Tesco Donabate,Dublin,0.85,53.488832,-6.190918
"Grove Hill Windfarm (formerly
Tullynageer WF)",Monaghan,17.1,54.190716,-6.700501
Michael Aylward,Kilkenny,,52.333107,-7.0702
Mulreavy Ext (Meenadreen South (2)),Donegal,5.0,54.656686,-7.97193
Glencarbry Wind Farm,Tipperary,,52.622741,-8.102617
Lisdowney Wind Farm,Kilkenny,,52.78451,-7.430135
Beale Hill (3) Wind Farm,Kerry,1.7,52.564985,-9.635946
Sliabh Bawn (1),Roscommon,64.0,53.749072,-8.053794
"Killaveenoge Windfarm -
(Derryvacorneen merge with Barrboy)",Cork,,51.736764,-9.252149
KWT Energy Ltd,Waterford,0.0,52.221536,-7.425653
Kilmeedy Wind Farm,Limerick,,52.425067,-8.891137
Ballyduff Wind Farm,Wexford,,52.646195,-6.480381
Ballyduff Wind Farm,Wexford,,52.645846,-6.481206
"Ballybane 3 (Glanta Commons) Wind
Farm",Cork,,51.631745,-9.379964
"Ballybane 2A (Glanta Commons) Wind
Farm Extension",Cork,0.0,51.631745,-9.379964
Ugool (1),Galway,64.0,53.366763,-9.352749
Mulreavy (Mulreavy (1)),Donegal,90.0,54.652621,-7.935774
Ballon Wind,Carlow,0.0,52.724713,-6.80361
Cooly Wind Farm,Donegal,,55.215454,-7.10369
Kilberehert Wind Farm,Cork,,52.261567,-8.85751
Seecon (1),Galway,108.0,53.352612,-9.372275
Tullabrack Wind Farm,Clare,,52.679262,-9.478093
Moneypoint (1),Clare,17.25,52.610196,-9.42321
Killin Hill Wind Farm,Donegal,6.9,54.704059,-8.290823
Ballybay Wind Farm (Tullaroan),Kilkenny,,52.661816,-7.508586
Foyle Wind Farm (prev Holmes Hill),Kilkenny,8.0,52.639083,-7.461571
Grady Joinery Wind Farm,Mayo,,53.96938,-8.747692
Gurteen Lower Wind Farm,Tipperary,,52.630568,-7.595643
"Killaveenoge Windfarm (Derryvacorneen
merge with Barrboy Windfarm)",Cork,,51.823014,-9.246851
"Tullynamoyle Wind Farm 3 (Carrane Hill
Merged Capacity)",Leitrim,,54.226734,-8.134904
"Tullynamoyle Wind Farm 3 (Formerly
Geevagh 2)",Leitrim,,54.226734,-8.134904
An Cnoc,Tipperary,,52.647338,-7.528191
Cappawhite A Wind Farm (Gate 2),Tipperary,0.0,52.595962,-8.152876
Cappawhite A Wind Farm (Gate 3),Tipperary,0.0,52.595962,-8.152876
Tullynamoyle 2 Wind Farm,Leitrim,0.0,54.228906,-8.120574
"Knocknatallig Wind Farm (formerly
Buttevant Wind Farm)",Cork,,52.289595,-8.620958
Castlepook (1),Cork,,52.286798,-8.54293
Scartaglen 2 Wind Farm,Kerry,,52.162515,-9.315166
Scartaglen Wind Farm,Kerry,,52.162515,-9.315166
Curraghderrig,Kerry,,52.553374,-9.597783
"Meenaward Wind Farm (Formerly Beam
Hill 2)",Donegal,,55.197703,-7.440461
Liffey Autoproduction Project,Cavan,,53.851561,-7.204395
Liffey Autoproduction Project (extension),Cavan,0.0,53.851561,-7.204395
Teevurcher Wind Farm,Meath,,53.88258,-6.919939
"Leanamore Wind Farm (Tarbert Wind
Farm)",Kerry,18.0,52.539202,-9.424495
Meenwaun Windfarm Ext.,Offaly,0.0,53.160672,-7.920297
Cloonlusk Wind Farm,Galway,,53.468959,-8.800898
Coollegrean Wind Farm,Kerry,,52.264259,-9.268417
Ballagh Wind Farm,Limerick,,52.368896,-9.084216
Gortnacloghy Wind Farm,Limerick,4.6,52.364502,-9.086061
"Glanaruddery 2 (formerly Dromadda
More 2)",Kerry,,52.311903,-9.461134
"Glanaruddery 1 (formerly Dromadda
More Wind Farm)",Kerry,,52.311903,-9.461134
Cordal (2),Kerry,54.4,52.231948,-9.276117
Cordal (1),Kerry,35.2,52.229869,-9.281341
Cloghaneleskirt Wind Farm,Kerry,,52.343164,-9.533186
Clahane,Kerry,13.8,52.378591,-9.547748
"Cappawhite B Wind Farm (Cappagh
White)",Tipperary,,52.601556,-8.163079
Kelwin Power,Kerry,37.05,52.529762,-9.513225
Rathnacally Wind Farm,Cork,,52.329584,-8.698439
Glantaunyalkeen Windfarm,Kerry,,52.329619,-9.438247
Carrickallen Wind Farm,Cavan,0.0,54.015783,-7.170738
Knockalassa (formerly Keelderry),Galway,27.5,53.078729,-8.669222
Boolinrudda (formerly Boolynagleragh & Glenmore),Clare,45.0,52.830823,-9.289097
Kilbranish Wind Farm,Carlow,,52.657313,-6.723402
Magheramore and Cloontooa Wind Farm,Mayo,,53.763187,-8.917269
Corvin Wind Turbine,Donegal,0.0,55.134823,-7.389288
Patrick Costello Wind Turbine,Tipperary,0.0,52.657728,-8.055454
Knockalough (1),Galway,35.2,53.300154,-9.24356
Mossedge Wind Farm,Donegal,0.0,55.118741,-7.278713
Ballycumber Wind Farm,Wicklow,,52.833411,-6.46814
Tullynamalra Wind Farm,Monaghan,,54.060446,-6.813127
Carrowleagh Wind Farm Ext. (2),Sligo,,54.133418,-8.95431
Killala Wind Farm (Phase 1),Mayo,,54.1911,-9.224199
Ballincurry Wind Farm Ltd (Glengoole),Tipperary,,52.615456,-7.626697
Gortnahalla,Tipperary,,52.71748,-7.999637
Rossaveel Wind Farm,Galway,,53.496481,-9.983559
Lissycasey Wind Farm,Clare,,52.759856,-9.207556
Cronalaght Wind Farm 2,Donegal,,55.060469,-8.215932
Oweninny Power (1),Mayo,92.8,54.135456,-9.548389
Sorrell Island (Glenmore) Wind Farm Extension,Clare,,52.766129,-9.264148
Boolynagleragh (1),Clare,,52.780375,-9.152654
Cleanrath Wind Farm,Cork,,51.876282,-9.138909
"Derrysallagh Wind Farm (Formerly
Kilronan 2)",Roscommon,,54.096688,-8.187168
Grousemount WF,Kerry,114.2,51.872697,-9.314726
Clogheravaddy Wind Farm (Phase 1),Donegal,,54.714529,-8.269175
Bunnyconnellan Wind Farm,Mayo,,54.100744,-8.993993
Boolard Wind Farm,Cork,,52.324719,-8.757352
Moyvane Wind,Kerry,0.0,52.462346,-9.386657
Raragh 2 Wind Farm,Cavan,,53.931578,-7.586632
Enros - Sorne Hill Single Turbine,Donegal,,55.135279,-7.355791
Kiltumper Wind Farm,Clare,,52.749642,-9.311832
Three Trees,Donegal,,55.125615,-7.262616
Bunnahowen Wind Farm (Temp),Mayo,,54.191834,-9.890285
Derrynadivva Extension,Mayo,,53.919465,-9.343151
Cahermurphy Wind Farm,Clare,,52.768175,-9.336599
Kilpatrick Wind,Cork,0.0,51.774491,-8.70062
Beenanaspock and Tobertooreen Wind Farm,Kerry,23.1,52.43443,-9.22223
"Knockawarriga Extension
(Knockacummer & Caherlevoy) Wind",Limerick,0.0,52.344668,-9.21968
Black Lough Wind Farm,Sligo,,54.158861,-8.955461
Ballynultagh Wind Farm,Wicklow,0.5,52.777477,-6.542173
Mauricetown (Glenduff)  Wind Farm,Limerick,13.8,52.341188,-9.043423
Esk Wind Farm Phase 2,Cork,0.0,52.057185,-8.809068
Esk Wind Farm Phase 1,Cork,0.0,52.060555,-8.802539
Esk Wind Farm Phase 1,Cork,,52.060555,-8.802539
Sorrell Island (Glenmore) WF Ext,Clare,0.0,52.766129,-9.264148
Carrigdangan (formerly Barnadivane),Cork,54.3,51.818692,-8.949145
Clogheravaddy Wind Farm (Phase 2),Donegal,0.0,54.707147,-8.268537
Patrick Costello Wind Turbine Ext,Tipperary,0.0,52.657728,-8.055454
